Date,Price,Open,High,Low,Vol.,Change %
2020/4/6,219.76,211.58,221.26,210.17,1.18M,8.52%
2020/4/7,218.09,228.18,228.18,217.86,1.74M,-0.76%
2020/4/8,224.35,220.71,225.29,219.04,1.06M,2.87%
2020/4/9,224.88,227.64,228.55,223.22,1.71M,0.24%
2020/4/13,225.39,224.28,225.44,220.62,1.01M,0.23%
2020/4/14,234.54,230.53,235,229.51,1.62M,4.06%
2020/4/15,229.46,229.88,231.08,227.59,912.34K,-2.17%
2020/4/16,231.84,232.19,232.54,228.24,1.25M,1.04%
2020/4/17,235.57,236.04,236.32,232.05,1.01M,1.61%
2020/4/20,231.66,232.49,235.3,231.61,1.31M,-1.66%
2020/4/21,222.14,228.48,229,220.84,1.05M,-4.11%
2020/4/22,230.56,227.57,231.74,226.65,674.36K,3.79%
2020/4/23,229.38,231.13,233.77,229.09,600.85K,-0.51%
2020/4/24,233.89,230.24,234.09,228.71,856.66K,1.97%
2020/4/27,236.55,236.16,237.01,235,886.13K,1.14%
2020/4/28,233.55,239.5,239.66,233.27,843.15K,-1.27%
2020/4/29,243.52,238.46,244.2,237.75,948.60K,4.27%
2020/4/30,242,244.09,244.09,240.33,837.42K,-0.62%
2020/5/1,235.05,236.57,239.32,234.06,929.83K,-2.87%
2020/5/4,237.94,233.33,238.14,232.57,624.78K,1.23%
2020/5/5,241.62,240.65,244.47,240.45,900.02K,1.55%
2020/5/6,243.36,243.66,245.71,242.16,712.23K,0.72%
2020/5/7,247.74,247.02,249.11,246.68,812.74K,1.80%
2020/5/8,251.41,250.35,251.71,248.54,774.41K,1.48%
2020/5/11,253.14,249.79,254.66,249.35,1.38M,0.69%
2020/5/12,247.7,254.37,254.91,247.7,3.60M,-2.15%
2020/5/13,243.3,248.13,249.76,240.16,1.16M,-1.78%
2020/5/14,246.23,241.31,246.5,238.58,799.88K,1.20%
2020/5/15,247.68,242.77,247.68,242.09,665.54K,0.59%
2020/5/18,253.65,252.59,255.09,251.94,900.52K,2.41%
2020/5/19,252.88,254.04,256.97,252.88,709.60K,-0.30%
2020/5/20,258.67,256.53,259.17,256.21,708.98K,2.29%
2020/5/21,255.47,258.49,259.36,254.93,704.85K,-1.24%
2020/5/22,256.72,255.07,256.9,254.01,521.18K,0.49%
2020/5/26,256.9,261.9,261.99,256.45,763.29K,0.07%
2020/5/27,258.33,256.75,258.36,250.91,836.77K,0.56%
2020/5/28,257.81,257.59,262.55,257,703.69K,-0.20%
2020/5/29,261.03,258.44,261.7,256.54,738.57K,1.25%
2020/6/1,261.87,259.98,262.48,259.09,1.02M,0.32%
2020/6/2,264.21,262.37,264.21,259.66,570.92K,0.89%
2020/6/3,266.67,265.27,267.35,264.3,716.61K,0.93%
2020/6/4,264.05,265.71,267.11,262.41,706.39K,-0.98%
2020/6/5,270.43,266.05,271.17,265.12,713.92K,2.42%
2020/6/8,272.09,270.2,272.17,267.9,1.39M,0.61%
2020/6/9,272.7,270.62,274.18,270.32,638.92K,0.22%
2020/6/10,276.76,274.81,278.78,274.1,641.29K,1.49%
2020/6/11,260.99,270.96,272.17,260.73,1.34M,-5.70%
2020/6/12,264.2,268.57,269.38,259.66,1.12M,1.23%
2020/6/15,267.49,259.17,268.45,258.61,745.57K,1.25%
2020/6/16,273.12,274.24,275.36,269,1.10M,2.10%
2020/6/17,272.91,275.19,275.56,272.61,540.44K,-0.08%
2020/6/18,274.4,272.62,274.7,272.01,666.84K,0.55%
2020/6/19,272.58,277.72,278.02,271.4,638.41K,-0.66%
2020/6/22,276.94,272.38,277.18,271.97,553.30K,1.60%
2020/6/23,278.76,279.16,282.04,278.43,695.29K,0.66%
2020/6/24,272.46,277.71,279.23,270.88,911.88K,-2.26%
2020/6/25,276.08,272.71,276.3,269.82,630.10K,1.33%
